Country Name,countryID,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.8798967,745.1418859,753.6307601,709.5957425,685.0465041,634.1776899,586.320225,580.0572127,606.8317419,600.9020303,597.7181893,609.1447542,628.1992591,613.6300389,639.8742272,644.7866027,677.3826655,704.4398589,729.4627833,735.7012343,748.3806576,771.5094237,793.0801921,818.2852133,844.4196327,796.9608114,777.7528517,
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18768.80691,19675.76232,20349.59192,20552.92621,21601.00355,22530.16064,22886.1257,23916.49594,24543.93302,25642.26165,27983.99612,28982.59509,30482.78465,31054.30539,32249.49946,33332.33135,35390.85353,36866.26563,38133.50146,38001.99092,40091.00999,41248.72534,42354.63149,43519.77792,44626.98686,45430.90738,46428.67142,
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.3767455,984.313665,1001.087611,1047.404741,1054.55141,1104.637026,1137.108275,1186.416881,1210.449119,1256.962393,1320.889575,1380.620229,1422.954063,1456.364545,1516.430287,1545.698265,1608.772887,1701.207073,1768.803598,1773.053298,1781.987066,1820.894693,1890.02902,2002.051409,2103.896786,2116.063638,2167.642823,
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.7262408,598.7899946,597.5542266,616.0270135,620.2607787,651.2624504,716.1198187,753.1273413,794.3541721,842.120332,852.3889727,903.274517,929.9310412,993.2680608,1035.5229,1127.558743,1198.509517,1261.416064,1338.860297,1347.579242,1394.584727,1472.716482,1549.480266,1616.779271,1663.594156,1699.87989,1771.015287,
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.4340817,869.3353283,916.5185747,961.1617106,997.9715926,1048.184206,1092.017687,1136.354592,1183.376701,1232.434473,1301.463285,1372.362514,1420.431252,1491.023592,1586.182168,1718.402873,1864.194503,2024.232095,2163.554427,2264.871499,2393.315832,2570.850145,2756.443467,2934.644352,3125.721575,3335.759791,3579.756791,
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5190.796795,4959.47785,4754.419814,4833.894799,5043.615842,5319.71631,5623.310028,5686.071642,6008.402907,5751.464151,6374.473431,6944.054509,7766.223921,8379.182196,9174.110561,10275.07223,11372.80352,12900.78589,14328.92954,14143.61302,14948.58957,15676.14413,16208.21527,16631.65872,17508.89053,18115.23507,19242.62262,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694.90726,25375.91828,26985.49405,30419.88058,30235.41209,31276.02653,32298.22247,32941.35587,33826.53158,34535.51718,35622.6017,35578.88429,35516.29323,36258.09248,37399.84481,38466.56221,39163.12045,40282.96652,40557.02431,39412.16741,39749.84938,40164.58274,41714.84361,44168.37795,46088.60291,46775.74033,,
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15693.83586,15253.63965,14721.59886,14837.7632,15362.72655,16121.23886,16889.4113,17338.45,18157.73825,19516.37291,20487.34318,21132.32884,21607.80665,21305.85807,21620.72728,22602.9565,23415.71172,23923.70871,23392.28616,22191.1746,22431.92995,22674.72782,23453.63549,23370.53726,23145.31985,22448.52703,22516.81648,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.2819766,1202.660484,2352.772559,3239.948538,3787.991807,4205.492101,4528.613045,4735.17318,5114.274174,5348.587224,5840.6514,6453.186632,7380.875407,8161.686235,9006.447009,9003.269729,9314.886031,9901.610202,10181.91323,10825.84002,11164.20573,11526.42439,12172.06647,
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5399.405575,5509.472353,5083.127399,4797.757572,4331.653233,3974.935907,4174.754538,4750.378,5230.108235,5513.833558,5994.557257,6453.905308,6927.554568,7616.458952,8781.636438,9984.192557,11389.55166,12756.63463,14383.16739,14553.79537,15906.7562,17166.69564,17801.9187,18271.75429,18865.73149,18347.1407,18066.30066,
